\bscra	𝓪
\:musical_score:	🎼
\biD	𝑫
\bsansR	𝗥
\mapsdown	↧
\:bank:	🏦
\:hammer:	🔨
\bsanspsi	𝞇
\bfa	𝐚
\squareurquad	◳
\bfrakU	𝖀
\bisanst	𝙩
\smwhtlozenge	⬫
\^V	ⱽ
\bbzero	𝟘
\rightthreearrows	⇶
\ttzero	𝟶
\:-1:	👎
\:postal_horn:	📯
\bsansb	𝗯
\:man_with_gua_pi_mao:	👲
\:aquarius:	♒
\bfrakg	𝖌
\QED	∎
\^b	ᵇ
\bisansl	𝙡
\bbfive	𝟝
\:ice_hockey_stick_and_puck:	🏒
\:smirk_cat:	😼
\scrm	𝓂
\its	𝑠
\sansH	𝖧
\:peach:	🍑
\:clock10:	🕙
\RightUpVectorBar	⥔
\itX	𝑋
\tts	𝚜
\verymuchless	⋘
\rrbracket	⟧
\dicei	⚀
\:pinata:	🪅
\squarenwsefill	▧
\bfc	𝐜
\triangleq	≜
\:boom:	💥
\:raising_hand:	🙋
\:tractor:	🚜
\ogreaterthan	⧁
\:curly_loop:	➰
\Beta	Β
\bisansSigma	𝞢
\ast	∗
\bigsqcup	⨆
\bsansq	𝗾
\:cool:	🆒
\bsansOmicron	𝝤
\enclosesquare	⃞
\:beers:	🍻
\nequiv	≢
\lat	⪫
\isansS	𝘚
\ttb	𝚋
\ncong	≇
\:mag_right:	🔎
\^theta	ᶿ
\Succ	⪼
\:clock330:	🕞
\_schwa	ₔ
\ttf	𝚏
\bsansEta	𝝜
\_0	₀
\dddot	⃛
\scri	𝒾
\:chart_with_upwards_trend:	📈
\:shirt:	👕
\implies	⟹
\bfg	𝐠
\bfeta	𝛈
\:dancer:	💃
\dotminus	∸
\bscrN	𝓝
\oint	∮
\circlearrowleft	↺
\bscrE	𝓔
\blackinwhitediamond	◈
\diamondleftblack	⬖
\nHdownarrow	⇟
\bbJ	𝕁
\:house:	🏠
\:dog:	🐶
\diamondsuit	♢
\frakg	𝔤
\:hut:	🛖
\llbracket	⟦
\UUparrow	⟰
\bfphi	𝛟
\nsucc	⊁
\:heart_decoration:	💟
\:second_place_medal:	🥈
\succ	≻
\bfd	𝐝
\bisansIota	𝞘
\:beverage_box:	🧃
\bbgamma	ℽ
\isansv	𝘷
\biomicron	𝝄
\:black_nib:	✒
\bbT	𝕋
\scrC	𝒞
\pscrv	ʋ
\bsansdelta	𝝳
\neovnwarrow	⤱
\twoheadmapsto	⤅
\langle	⟨
\:zebra_face:	🦓
\DownRightVectorBar	⥗
\:cucumber:	🥒
\:chopsticks:	🥢
\elsdot	⪗
\:non-potable_water:	🚱
\biEta	𝜢
\:speaker:	🔈
\xor	⊻
\rightangle	∟
\backsim	∽
\:cyclone:	🌀
\:musical_keyboard:	🎹
\:airplane:	✈
\minhat	⩟
\isansJ	𝘑
\bfmu	𝛍
\measeq	≞
\:smiling_face_with_tear:	🥲
\:registered:	®
\varphi	φ
\:person_climbing:	🧗
\:mag:	🔍
\Tau	Τ
\itAlpha	𝛢
\looparrowleft	↫
\nVtwoheadrightarrow	⤁
\:arrow_double_up:	⏫
\isansX	𝘟
\sansj	𝗃
\nsim	≁
\ocirc	̊
\div	÷
\sansJ	𝖩
\:ship:	🚢
\longmapsfrom	⟻
\squarehvfill	▦
\bfv	𝐯
\leftrightharpoonupdown	⥊
\:tent:	⛺
\And	⩓
\bisansTheta	𝞗
\bbsum	⅀
\:fried_egg:	🍳
\:monkey:	🐒
\bscrC	𝓒
\cancer	♋
\:skin-tone-5:	🏾
\lrblacktriangle	◢
\itBeta	𝛣
\equalleftarrow	⭀
\:flashlight:	🔦
\bscrg	𝓰
\enclosetriangle	⃤
\:star2:	🌟
\:nazar_amulet:	🧿
\scrI	ℐ
\rightouterjoin	⟖
\bfrakZ	𝖅
\twoheadmapsfrom	⬶
\:person_in_tuxedo:	🤵
\bsansalpha	𝝰
\bisansE	𝙀
\binu	𝝂
\itz	𝑧
\:clock8:	🕗
\^g	ᵍ
\scrO	𝒪
\biq	𝒒
\bfOmicron	𝚶
\bfrakI	𝕴
\:wolf:	🐺
\leftwavearrow	↜
\:mechanical_arm:	🦾
\notlessgreater	≸
\:package:	📦
\rightrightarrows	⇉
\:thong_sandal:	🩴
\:fireworks:	🎆
\:hamburger:	🍔
\:church:	⛪
\3/5	⅗
\blackpointerright	►
\cdotp	·
\bfvarphi	𝛗
\:rice_cracker:	🍘
\itOmicron	𝛰
\biY	𝒀
\italpha	𝛼
\:fountain:	⛲
\notbackslash	⍀
\:sweet_potato:	🍠
\blacktriangle	▴
\mdblkcircle	⚫
\DownLeftRightVector	⥐
\ordmasculine	º
\frakI	ℑ
\:telescope:	🔭
\DownLeftTeeVector	⥞
\:joy_cat:	😹
\:large_orange_circle:	🟠
\^R	ᴿ
\:baby:	👶
\bfsix	𝟔
\rightarrowdiamond	⤞
\:volcano:	🌋
\bisanszeta	𝞯
\bfraki	𝖎
\:notebook_with_decorative_cover:	📔
\circlellquad	◵
\upuparrows	⇈
\:beaver:	🦫
\planck	ℎ
\:vibration_mode:	📳
\bsansRho	𝝦
\:closed_lock_with_key:	🔐
\:mask:	😷
\^downarrow	ꜜ
\vDash	⊨
\:arrows_clockwise:	🔃
\:pretzel:	🥨
\varclubsuit	♧
\bscrX	𝓧
\sim	∼
\:arrow_right_hook:	↪
\:revolving_hearts:	💞
\RuleDelayed	⧴
\:cinema:	🎦
\scrJ	𝒥
\bfepsilon	𝛜
\rightarrowbsimilar	⭌
\:umbrella_with_rain_drops:	☔
\:potato:	🥔
\:mammoth:	🦣
\ggg	⋙
\:angry:	😠
\:heavy_minus_sign:	➖
\:mushroom:	🍄
\:grapes:	🍇
\rightthreetimes	⋌
\:moon:	🌔
\bscrR	𝓡
\O	Ø
\:womans_clothes:	👚
\bbie	ⅇ
\:guide_dog:	🦮
\curlywedge	⋏
\itTau	𝛵
\itk	𝑘
\underleftharpoondown	⃭
\smwhitestar	⭒
\circleulquad	◴
\nprec	⊀
\_n	ₙ
\itphi	𝜙
\leftrightarrows	⇆
\biSigma	𝜮
\eighthnote	♪
\:screwdriver:	🪛
\bbrktbrk	⎶
\^(	⁽
\:speedboat:	🚤
\1/2	½
\iint	∬
\nleqslant	⩽̸
\leftrightarrowtriangle	⇿
\squarelrquad	◲
\measanglerdtose	⦪
\eparsl	⧣
\nprecsim	≾̸
\btimes	⨲
\bia	𝒂
\bisansLambda	𝞚
\:post_office:	🏣
\:large_orange_diamond:	🔶
\bisansDelta	𝞓
\:flying_saucer:	🛸
\bbw	𝕨
\:wine_glass:	🍷
\bfrakP	𝕻
\ordfeminine	ª
\bsansY	𝗬
\:yarn:	🧶
\sbrhr	˒
\Nwarrow	⇖
\bsansmu	𝝻
\itlambda	𝜆
\isansE	𝘌
\ae	æ
\:left-facing_fist:	🤛
\:credit_card:	💳
\:goggles:	🥽
\infty	∞
\eqgtr	⋝
\_=	₌
\:honey_pot:	🍯
\:sagittarius:	♐
\:compass:	🧭
\:yum:	😋
\nvleftarrow	⇷
\Swarrow	⇙
\leftharpoonaccent	⃐
\bbb	𝕓
\:dash:	💨
\inversewhitecircle	◙
\commaminus	⨩
\bisansf	𝙛
\bisansChi	𝞦
\btdl	ɬ
\:rotating_light:	🚨
\:railway_car:	🚃
\:bow_and_arrow:	🏹
\smblksquare	▪
\lrcorner	⌟
\bsansV	𝗩
\birho	𝝆
\:arrow_left:	⬅
\:herb:	🌿
\:womans_hat:	👒
\^M	ᴹ
\simlE	⪟
\_8	₈
\:cricket_bat_and_ball:	🏏
\bit	𝒕
\cirfb	◒
\bscrk	𝓴
\:teddy_bear:	🧸
\rightsquigarrow	⇝
\leftarrow	←
\nVtwoheadleftarrowtail	⬽
\revemptyset	⦰
\bisansvarsigma	𝞻
\hkswarow	⤦
\:ledger:	📒
\bisansq	𝙦
\:bridge_at_night:	🌉
\frakK	𝔎
\:pouting_cat:	😾
\isansC	𝘊
\:llama:	🦙
\^B	ᴮ
\doublebarvee	⩢
\circledwhitebullet	⦾
\itEta	𝛨
\bfzeta	𝛇
\isansG	𝘎
\:city_sunset:	🌆
\bih	𝒉
\measanglelutonw	⦩
\:taxi:	🚕
\upvDash	⫫
\:arrow_heading_up:	⤴
\neqsim	≂̸
\smwhtsquare	▫
\leftarrowapprox	⭊
\:oncoming_police_car:	🚔
\Koppa	Ϟ
\itnu	𝜈
\gggnest	⫸
\:whale2:	🐋
\angle	∠
\scrT	𝒯
\itSigma	𝛴
\:microbe:	🦠
\underrightarrow	⃯
\:baggage_claim:	🛄
\:unamused:	😒
\lrtriangleeq	⧡
\bscrL	𝓛
\varointclockwise	∲
\:waxing_crescent_moon:	🌒
\twoheadrightarrowtail	⤖
\bsansiota	𝝸
\llblacktriangle	◣
\_u	ᵤ
\ddotseq	⩷
\lltriangle	◺
\bii	𝒊
\:bar_chart:	📊
\boxupcaret	⍓
\approxeqq	⩰
\openbracketleft	⟦
\^k	ᵏ
\:heart_eyes_cat:	😻
\isansK	𝘒
\simgtr	⪞
\:dna:	🧬
\bfGamma	𝚪
\barrightarrowdiamond	⤠
\triangleleft	◁
\bscrS	𝓢
\ttg	𝚐
\:suspension_railway:	🚟
\:mouse:	🐭
\forkv	⫙
\updownarrowbar	↨
\upepsilon	ε
\:black_large_square:	⬛
\bfdigamma	𝟋
\pertenthousand	‱
\precnsim	⋨
\profline	⌒
\itupsilon	𝜐
\reapos	‛
\UpEquilibrium	⥮
\:file_folder:	📁
\biC	𝑪
\scrE	ℰ
\:eggplant:	🍆
\:goal_net:	🥅
\aries	♈
\itMu	𝛭
\Zbar	Ƶ
\nleftarrow	↚
\itvarepsilon	𝜀
\mho	℧
\bigwedge	⋀
\benzenr	⏣
\sanss	𝗌
\:smiley:	😃
\sinewave	∿
\:electric_plug:	🔌
\bbii	ⅈ
\leftrightarrowcircle	⥈
\diamondbotblack	⬙
\:adhesive_bandage:	🩹
\curlyvee	⋎
\eth	ð
\itK	𝐾
\bisansF	𝙁
\bsolhsub	⟈
\:panda_face:	🐼
\lesseqqgtr	⪋
\:plunger:	🪠
\bbu	𝕦
\bsansf	𝗳
\bsansj	𝗷
\itI	𝐼
\twocups	⩊
\bisanspartial	𝟃
\circlelrquad	◶
\lessdot	⋖
\subsetplus	⪿
\bfP	𝐏
\:hippopotamus:	🦛
\blackcircledtwodots	⚉
\bfk	𝐤
\ttseven	𝟽
\rsolbar	⧷
\sansa	𝖺
\isansI	𝘐
\:balloon:	🎈
\nVtwoheadrightarrowtail	⤘
\ttX	𝚇
\ularc	◜
\_6	₆
\aa	å
\1/9	⅑
\:sports_medal:	🏅
\:elf:	🧝
\:hotsprings:	♨
\:two_women_holding_hands:	👭
\Lsh	↰
\:x:	❌
\itnabla	𝛻
\trianglelefteq	⊴
\emptysetoarr	⦳
\:mortar_board:	🎓
\degree	°
\dicevi	⚅
\:oden:	🍢
\topbot	⌶
\updownharpoonleftright	⥍
\bbone	𝟙
\fraka	𝔞
\:aries:	♈
\ddagger	‡
\bscrc	𝓬
\itvarpi	𝜛
\itW	𝑊
\:slightly_smiling_face:	🙂
\:gemini:	♊
\:moneybag:	💰
\circeq	≗
\Phi	Φ
\guilsinglleft	‹
\bisansA	𝘼
\AE	Æ
\check	̌
\intx	⨘
\:vampire:	🧛
\bfNu	𝚴
\parallelogram	▱
\bsansD	𝗗
\Dashv	⫤
\sansb	𝖻
\overbracket	⎴
\bfchi	𝛘
\:watch:	⌚
\:skin-tone-3:	🏼
\biI	𝑰
\:100:	💯
\:camel:	🐫
\:stethoscope:	🩺
\bfSigma	𝚺
\:eyes:	👀
\bbg	𝕘
\Prec	⪻
\:u7121:	🈚
\subsetapprox	⫉
\:kissing:	😗
\:banjo:	🪕
\tricolon	⁝
\:handball:	🤾
\hookleftarrow	↩
\:clown_face:	🤡
\LeftTriangleBar	⧏
\:smoking:	🚬
\:traffic_light:	🚥
\bisansK	𝙆
\bfDelta	𝚫
\wideangleup	⦧
\csube	⫑
\:calling:	📲
\:sauropod:	🦕
\natural	♮
\niobar	⋾
\mp	∓
\:bulb:	💡
\postalmark	〒
\NG	Ŋ
\frakc	𝔠
\biG	𝑮
\bfrakN	𝕹
\bisansT	𝙏
\:headphones:	🎧
\tildelow	˜
\dashrightharpoondown	⥭
\:outbox_tray:	📤
\^H	ᴴ
\:salt:	🧂
\:no_bell:	🔕
\gimel	ℷ
\iiiint	⨌
\bip	𝒑
\:expressionless:	😑
\:cd:	💿
\twoheadleftarrowtail	⬻
\ttq	𝚚
\smte	⪬
\:mailbox_with_no_mail:	📭
\:shushing_face:	🤫
\whitepointerright	▻
\:fast_forward:	⏩
\nvLeftrightarrow	⤄
\TH	Þ
\:fax:	📠
\revangleubar	⦥
\clwintegral	∱
\sansthree	𝟥
\circledbullet	⦿
\:school:	🏫
\ttN	𝙽
\bfdelta	𝛅
\:ferris_wheel:	🎡
\:u6708:	🈷
\hat	̂
\:speak_no_evil:	🙊
\vartheta	ϑ
\bscrP	𝓟
\Iota	Ι
\varlrtriangle	⊿
\frakX	𝔛
\:butterfly:	🦋
\itS	𝑆
\kernelcontraction	∻
\ntriangleright	⋫
\bisansEta	𝞖
\itvartheta	𝜗
\trnt	ʇ
\:heart_eyes:	😍
\isansU	𝘜
\enspace	 
\:blowfish:	🐡
\bigcirc	○
\:astonished:	😲
\itvarTheta	𝛳
\sigma	σ
\bisansOmicron	𝞞
\leftharpoonup	↼
\:racehorse:	🐎
\barleftarrowrightarrowbar	↹
\^w	ʷ
\bbA	𝔸
\:grey_question:	❔
\rightwhitearrow	⇨
\:boxing_glove:	🥊
\sqrtbottom	⎷
\nVrightarrowtail	⤕
\Leftrightarrow	⇔
\rightharpoonsupdown	⥤
\lceil	⌈
\:dromedary_camel:	🐪
\bfi	𝐢
\bfrakH	𝕳
\:ringed_planet:	🪐
\ne	≠
\varsubsetneqq	⊊︀
\bullet	•
\bfrakf	𝖋
\:arrow_forward:	▶
\:kissing_closed_eyes:	😚
\:moyai:	🗿
\:horse:	🐴
\:mailbox_closed:	📪
\:kiwifruit:	🥝
\itRho	𝛲
\subedot	⫃
\:duck:	🦆
\:grinning:	😀
\dashleftharpoondown	⥫
\ttd	𝚍
\bsansM	𝗠
\itkappa	𝜅
\:white_heart:	🤍
\scrj	𝒿
\nsqsupseteq	⋣
\:japanese_castle:	🏯
\bfrakA	𝕬
\:rainbow:	🌈
\:elephant:	🐘
\bfm	𝐦
\bisansW	𝙒
\:green_book:	📗
\top	⊤
\:heavy_division_sign:	➗
\:eyeglasses:	👓
\bbZ	ℤ
\itiota	𝜄
\:bubble_tea:	🧋
\rasp	ʼ
\downharpoonright	⇂
\bsanssix	𝟲
\:person_in_steamy_room:	🧖
\:japan:	🗾
\squarellblack	⬕
\succsim	≿
\dashV	⫣
\itzeta	𝜁
\emdash	—
\biA	𝑨
\:haircut:	💇
\:diving_mask:	🤿
\:curling_stone:	🥌
\scrM	ℳ
\delta	δ
\rfloor	⌋
\eqslantless	⪕
\twoheaduparrow	↟
\bisansM	𝙈
\^phi	ᵠ
\bisansd	𝙙
\^i	ⁱ
\eqcolon	≕
\bfvarsigma	𝛓
\bfrakM	𝕸
\:arrows_counterclockwise:	🔄
\nsubseteq	⊈
\bisansomega	𝟂
\wedge	∧
\^N	ᴺ
\cdots	⋯
\:on:	🔛
\7/8	⅞
\:ballet_shoes:	🩰
\spadesuit	♠
\bfChi	𝚾
\:jack_o_lantern:	🎃
\:lips:	👄
\tildetrpl	≋
\dbkarow	⤏
\:sunny:	☀
\DownArrowUpArrow	⇵
\intbar	⨍
\nasymp	≭
\npreceq	⪯̸
\isansM	𝘔
\:standing_person:	🧍
\:rhinoceros:	🦏
\bfPhi	𝚽
\bbV	𝕍
\sansc	𝖼
\bfrakC	𝕮
\isansB	𝘉
\bisansPsi	𝞧
\squaretopblack	⬒
\:copyright:	©
\:zzz:	💤
\:sleeping_accommodation:	🛌
\Vvert	⦀
\:arrow_down:	⬇
\circledS	Ⓢ
\bbtwo	𝟚
\boxdot	⊡
\:dollar:	💵
\barovernorthwestarrow	↸
\mdwhtlozenge	⬨
\bsansE	𝗘
\bscrd	𝓭
\:soccer:	⚽
\squarevfill	▥
\:construction_worker:	👷
\LeftVectorBar	⥒
\_7	₇
\itO	𝑂
\:potable_water:	🚰
\:robot_face:	🤖
\smwhtcircle	◦
